price,MatriculationMonth,MatriculationYear,km,cv,FuelType,gearboxType,Consume,city,province,Brand,Model,Preparation,Engine,Seats,ConsumeFuel,ConsumeFuelNotUrban,Emissions,Color,Metallizzato,Airbag,NumberDoors,EmissionClass,AirConditioning,Interior
15754,Gennaio,2017,28211.0,142.0,Diesel,Cambio manuale,,Roma,Torino,BMW,Serie 1,Serie 1 1.6 Base 5p.,2129.0,4.0,5.3,,124.0,Bianco,,nan,nan,Euro 4,Climatizzatore manuale,
2582,Gennaio,2011,158047.0,120.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,500,500 1.8 Comfort 5p.,1449.0,5.0,4.4,,145.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,nan,
2035,No Mese,2007,87129.0,78.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,308,308 1.6 Sport 5p.,1049.0,4.0,5.7,,168.0,Grigio,,nan,nan,Euro 5,nan,
4632,No Mese,2017,32611.0,57.0,Diesel,Cambio automatico,,Roma,Torino,OPEL,Corsa,Corsa 1.3 Base 5p.,674.0,5.0,4.3,,92.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore automatico,
2928,No Mese,2011,136577.0,108.0,Diesel,Cambio automatico,,Roma,Torino,FIAT,Panda,Panda 1.7 Business 5p.,1486.0,5.0,6.9,,123.0,Nero,,nan,4 o 5 porte,Euro 4,Climatizzatore automatico,
2607,Giugno,2005,223489.0,66.0,Benzina,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe A,Classe A 1.6 Base 5p.,887.0,7.0,7.0,,131.0,Grigio,,Airbag conducente,nan,Euro 6,Climatizzatore automatico,
6536,No Mese,2017,13924.0,103.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,500,500 1.2 Base 5p.,,4.0,5.6,,99.0,Bianco,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore manuale,
3943,Giugno,2009,218652.0,91.0,Diesel,Cambio automatico,,Roma,Roma,MERCEDES-BENZ,Classe A,Classe A 1.2 Business 5p.,1395.0,7.0,4.4,,131.0,Grigio,,nan,nan,Euro 4,nan,
3077,Gennaio,2012,102570.0,113.0,Diesel,Cambio manuale,,Roma,Roma,FIAT,500,500 1.7 Base 5p.,1903.0,5.0,5.0,,153.0,Grigio,,Airbag conducente,4 o 5 porte,nan,Climatizzatore manuale,
1055,Giugno,2004,293538.0,65.0,Diesel,Cambio automatico,,Roma,Torino,VOLKSWAGEN,Golf,Golf 1.7 Sport 5p.,982.0,5.0,4.6,,114.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 5,Climatizzatore automatico,
1010,Gennaio,2006,187789.0,45.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,208,208 1.5 Business 5p.,585.0,4.0,4.0,,93.0,Nero,,nan,2 o 3 porte,Euro 4,Climatizzatore automatico,
14439,Marzo,2016,50399.0,168.0,Diesel,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe C,Classe C 1.6 Business 5p.,2800.0,7.0,7.2,,140.0,Nero,,Airbag conducente,4 o 5 porte,Euro 5,nan,
12139,Giugno,2014,67670.0,132.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.3 Sport 5p.,1551.0,4.0,6.4,,121.0,Bianco,,nan,2 o 3 porte,nan,nan,
3101,No Mese,2012,107589.0,96.0,Benzina,Cambio manuale,,Roma,Torino,RENAULT,Megane,Megane 1.3 Sport 5p.,1121.0,5.0,4.2,,156.0,Bianco,,nan,4 o 5 porte,nan,Climatizzatore automatico,
2847,Giugno,2013,102580.0,66.0,Benzina,Cambio manuale,,Roma,Milano,FIAT,Tipo,Tipo 1.5 Comfort 5p.,969.0,7.0,5.7,,129.0,Nero,,Airbag anteriori e laterali,nan,Euro 4,Climatizzatore automatico,
2250,Marzo,2008,178372.0,40.0,Benzina,Cambio automatico,,Roma,Roma,BMW,Serie 3,Serie 3 1.6 Business 5p.,635.0,5.0,4.9,,134.0,Grigio,,Airbag anteriori e laterali,nan,Euro 4,Climatizzatore manuale,
13537,Gennaio,2013,63536.0,153.0,Diesel,Cambio automatico,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.2 Base 5p.,2274.0,5.0,5.8,,120.0,Grigio,,nan,2 o 3 porte,nan,Climatizzatore manuale,
12172,Marzo,2010,184800.0,128.0,Diesel,Cambio manuale,,Roma,Milano,PORSCHE,Cayenne,Cayenne 1.2 Business 5p.,2014.0,5.0,6.4,,109.0,Grigio,,Airbag conducente,nan,Euro 5,Climatizzatore manuale,
3412,Gennaio,2011,167768.0,94.0,GPL,Cambio automatico,,Roma,Milano,VOLKSWAGEN,Passat,Passat 1.7 Business 5p.,1386.0,4.0,5.6,,117.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,Climatizzatore automatico,
777,Giugno,2008,271213.0,40.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,500,500 1.5 Sport 5p.,502.0,5.0,7.4,,118.0,Bianco,,nan,4 o 5 porte,Euro 5,Climatizzatore automatico,
3187,Marzo,2013,88998.0,80.0,Benzina,Cambio manuale,,Roma,Roma,OPEL,Astra,Astra 1.3 Base 5p.,1310.0,7.0,5.3,,155.0,Bianco,,Airbag conducente,2 o 3 porte,nan,Climatizzatore manuale,
2702,Gennaio,2005,190529.0,95.0,Benzina,Cambio automatico,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.7 Base 5p.,1318.0,5.0,5.5,,170.0,Nero,,nan,nan,Euro 4,nan,
2254,Giugno,2007,101397.0,106.0,Diesel,Cambio manuale,,Roma,Milano,PEUGEOT,308,308 1.2 Comfort 5p.,1683.0,5.0,7.0,,127.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,nan,
1947,Marzo,2010,128777.0,72.0,Diesel,Cambio manuale,,Roma,Torino,OPEL,Astra,Astra 1.8 Business 5p.,970.0,5.0,6.0,,108.0,Bianco,,Airbag anteriori e laterali,nan,Euro 4,nan,
5941,Giugno,2015,53809.0,130.0,GPL,Cambio manuale,,Roma,Roma,DR,DR5,DR5 1.3 Sport 5p.,1739.0,5.0,6.5,,151.0,Grigio,,nan,4 o 5 porte,Euro 4,nan,
1899,Marzo,2010,91240.0,44.0,Benzina,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Passat,Passat 1.2 Business 5p.,523.0,7.0,6.1,,106.0,Nero,,Airbag conducente,nan,nan,Climatizzatore manuale,
1451,No Mese,2005,260528.0,117.0,Metano,Cambio automatico,,Roma,Torino,FIAT,500,500 1.8 Comfort 5p.,1626.0,5.0,5.2,,93.0,Bianco,,nan,nan,nan,Climatizzatore manuale,
3239,Giugno,2010,104853.0,118.0,Benzina,Cambio manuale,,Roma,Roma,RENAULT,Clio,Clio 1.2 Sport 5p.,1660.0,5.0,6.4,,143.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,nan,Climatizzatore automatico,
14508,Marzo,2014,61485.0,188.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.4 Business 5p.,2633.0,5.0,4.6,,153.0,Bianco,,nan,nan,Euro 6,Climatizzatore manuale,
1899,Giugno,2003,225325.0,130.0,Diesel,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Golf,Golf 1.6 Sport 5p.,1899.0,4.0,6000.0,,102.0,Bianco,,nan,nan,nan,nan,
8511,Marzo,2019,500.0,82.0,Diesel,Cambio manuale,,Roma,Milano,OPEL,Corsa,Corsa 1.8 Business 5p.,972.0,4.0,5.3,,124.0,Grigio,,Airbag conducente,nan,nan,Climatizzatore automatico,
8000,No Mese,2012,142148.0,129.0,Benzina,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.6 Sport 5p.,1724.0,4.0,4.9,,50.0,Grigio,,Airbag anteriori e laterali,nan,Euro 4,Climatizzatore manuale,
3360,Gennaio,2015,54138.0,64.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,500,500 1.4 Comfort 5p.,763.0,4.0,6.4,,107.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 6,nan,
22298,Giugno,2018,10671.0,139.0,Diesel,Cambio automatico,,Roma,Roma,MERCEDES-BENZ,Classe A,Classe A 1.5 Sport 5p.,2064.0,7.0,4.9,,139.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 6,nan,
712,Giugno,2004,258669.0,65.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,500,500 1.6 Business 5p.,796.0,4.0,5.6,,140.0,Grigio,,Airbag anteriori e laterali,nan,nan,nan,
2630,Giugno,2013,95631.0,69.0,Diesel,Cambio automatico,,Roma,Milano,FIAT,Tipo,Tipo 1.2 Base 5p.,921.0,7.0,7.2,,154.0,Nero,,nan,4 o 5 porte,nan,nan,
1195,Marzo,2005,392487.0,92.0,Diesel,Cambio manuale,,Roma,Roma,FORD,Fiesta,Fiesta 1.3 Business 5p.,1171.0,5.0,5.2,,87.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 4,Climatizzatore manuale,
5121,Marzo,2014,94179.0,61.0,Diesel,Cambio manuale,,Roma,Milano,AUDI,A3,A3 1.7 Sport 5p.,904.0,5.0,7.4,,92.0,Nero,,nan,2 o 3 porte,Euro 4,Climatizzatore automatico,
6626,Giugno,2016,36715.0,140.0,Benzina,Cambio manuale,,Roma,Roma,PEUGEOT,308,308 1.3 Comfort 5p.,1968.0,5.0,4.6,,110.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 4,Climatizzatore automatico,
3635,No Mese,2016,63699.0,83.0,Benzina,Cambio manuale,,Roma,Milano,FIAT,Panda,Panda 1.4 Business 5p.,976.0,7.0,5.7,,106.0,Grigio,,nan,2 o 3 porte,Euro 6,nan,
1890,No Mese,2006,251034.0,132.0,GPL,Cambio manuale,,Roma,Milano,PEUGEOT,308,308 1.6 Base 5p.,1774.0,5.0,3.7,,146.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 6,Climatizzatore manuale,
3375,Giugno,2015,41702.0,57.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,500,500 1.6 Comfort 5p.,,5.0,6.5,,102.0,Nero,,Airbag conducente,2 o 3 porte,Euro 5,Climatizzatore automatico,
4872,Marzo,2010,148498.0,134.0,Metano,Cambio manuale,,Roma,Torino,VOLKSWAGEN,Passat,Passat 1.7 Business 5p.,1906.0,4.0,7.1,,100.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,Climatizzatore automatico,
3553,Marzo,2003,283010.0,170.0,Diesel,Cambio manuale,,Roma,Roma,AUDI,A3,A3 1.6 Base 5p.,2520.0,4.0,5.6,,132.0,Grigio,,nan,nan,Euro 4,Climatizzatore automatico,
1672,Marzo,2009,78879.0,43.0,Diesel,Cambio automatico,,Roma,Roma,PEUGEOT,208,208 1.2 Business 5p.,615.0,7.0,5.3,,146.0,Nero,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore automatico,
5845,Gennaio,2010,115942.0,123.0,Diesel,Cambio manuale,,Roma,Roma,BMW,X1,X1 1.7 Base 5p.,1946.0,5.0,5.3,,100.0,Grigio,,Airbag anteriori e laterali,nan,Euro 5,nan,
6011,Giugno,2019,500.0,92.0,Diesel,Cambio automatico,,Roma,Milano,FIAT,500,500 1.7 Comfort 5p.,1188.0,5.0,5.0,,136.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 5,Climatizzatore manuale,
1560,Marzo,2005,174865.0,108.0,Diesel,Cambio manuale,,Roma,Torino,VOLKSWAGEN,Golf,Golf 1.3 Base 5p.,1273.0,4.0,5.5,,118.0,Nero,,Airbag conducente,nan,nan,Climatizzatore automatico,
13666,Marzo,2006,134294.0,232.0,GPL,Cambio manuale,,Roma,Milano,PORSCHE,Macan,Macan 1.8 Sport 5p.,2683.0,5.0,4.8,,118.0,Nero,,nan,nan,Euro 5,Climatizzatore manuale,
8313,Gennaio,2013,106724.0,155.0,Diesel,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe C,Classe C 1.6 Base 5p.,2078.0,5.0,5.7,,127.0,Grigio,,Airbag anteriori e laterali,nan,Euro 6,nan,
1566,Giugno,2006,120764.0,79.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Megane,Megane 1.6 Business 5p.,1125.0,5.0,5.4,,96.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore manuale,
5907,Marzo,2007,170340.0,173.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.6 Sport 5p.,2147.0,4.0,6.8,,138.0,Bianco,,nan,2 o 3 porte,Euro 6,Climatizzatore manuale,
8482,Marzo,2013,122779.0,144.0,Diesel,Cambio manuale,,Roma,Milano,BMW,Serie 3,Serie 3 1.6 Business 5p.,2170.0,5.0,5.4,,135.0,Bianco,,nan,4 o 5 porte,nan,nan,
11713,No Mese,2013,110212.0,141.0,Benzina,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe A,Classe A 1.3 Base 5p.,2275.0,4.0,7.0,,146.0,Grigio,,nan,4 o 5 porte,nan,nan,
3710,Giugno,2009,500.0,125.0,Benzina,Cambio manuale,,Roma,Roma,OPEL,Astra,Astra 1.4 Comfort 5p.,1552.0,5.0,5.3,,106.0,Bianco,,Airbag anteriori e laterali,nan,Euro 5,nan,
3209,Marzo,2014,48012.0,57.0,Diesel,Cambio automatico,,Roma,Roma,PEUGEOT,208,208 1.7 Sport 5p.,639.0,5.0,5.3,,136.0,Bianco,,Airbag conducente,4 o 5 porte,nan,nan,
2583,Marzo,2008,105006.0,98.0,Diesel,Cambio automatico,,Roma,Roma,OPEL,Corsa,Corsa 1.8 Sport 5p.,1598.0,4.0,5.0,,118.0,Nero,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore automatico,
3034,Giugno,2015,44777.0,76.0,Diesel,Cambio automatico,,Roma,Roma,FIAT,500,500 1.6 Sport 5p.,979.0,4.0,5.9,,153.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,Climatizzatore manuale,
2405,Marzo,2007,59194.0,105.0,Diesel,Cambio automatico,,Roma,Roma,OPEL,Astra,Astra 1.4 Comfort 5p.,1547.0,5.0,6.6,,137.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore manuale,
6503,No Mese,2019,500.0,82.0,GPL,Cambio manuale,,Roma,Milano,OPEL,Corsa,Corsa 1.7 Sport 5p.,1072.0,7.0,4.7,,113.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 4,nan,
8073,Giugno,2019,500.0,130.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Megane,Megane 1.6 Business 5p.,1372.0,5.0,6.4,,95.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,Climatizzatore manuale,
5531,Giugno,2014,96612.0,102.0,Metano,Cambio automatico,,Roma,Roma,VOLKSWAGEN,Polo,Polo 1.3 Comfort 5p.,1464.0,4.0,4.3,,97.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,nan,
2381,Gennaio,2009,180239.0,106.0,Diesel,Cambio manuale,,Roma,Milano,OPEL,Astra,Astra 1.5 Base 5p.,1303.0,5.0,6.2,,121.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,nan,Climatizzatore manuale,
18844,No Mese,2019,500.0,127.0,Benzina,Cambio automatico,,Roma,Milano,AUDI,A3,A3 1.8 Sport 5p.,1576.0,4.0,5.9,,170.0,Nero,,Airbag anteriori e laterali,nan,Euro 5,nan,
1862,Marzo,2009,82500.0,71.0,Metano,Cambio manuale,,Roma,Torino,RENAULT,Megane,Megane 1.6 Base 5p.,1176.0,5.0,5.1,,161.0,Bianco,,Airbag conducente,nan,nan,nan,
4011,Giugno,2016,33666.0,78.0,Diesel,Cambio manuale,,Roma,Roma,FIAT,Tipo,Tipo 1.8 Comfort 5p.,1012.0,5.0,6.4,,123.0,Grigio,,Airbag conducente,nan,Euro 4,Climatizzatore automatico,
5586,Marzo,2010,127802.0,105.0,Benzina,Cambio manuale,,Roma,Torino,BMW,Serie 1,Serie 1 1.6 Business 5p.,1427.0,5.0,7.5,,163.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore automatico,
8996,Gennaio,2011,72220.0,119.0,Diesel,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.8 Comfort 5p.,1826.0,5.0,7.8,,129.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore manuale,
2082,Marzo,2011,197389.0,92.0,Benzina,Cambio automatico,,Roma,Milano,RENAULT,Clio,Clio 1.6 Base 5p.,1091.0,5.0,4.9,,115.0,Nero,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore automatico,
4903,No Mese,2012,76735.0,91.0,Diesel,Cambio manuale,,Roma,Roma,FORD,Focus,Focus 1.2 Business 5p.,1342.0,5.0,6.3,,180.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,nan,
5548,Marzo,2015,81822.0,131.0,Diesel,Cambio manuale,,Roma,Torino,OPEL,Corsa,Corsa 1.5 Comfort 5p.,2129.0,7.0,3.7,,122.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,nan,
678,No Mese,2003,235320.0,47.0,GPL,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Polo,Polo 1.2 Base 5p.,686.0,5.0,6.0,,147.0,Nero,,Airbag anteriori e laterali,nan,Euro 5,Climatizzatore manuale,
3389,Giugno,2003,212794.0,140.0,Benzina,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe A,Classe A 1.7 Sport 5p.,2094.0,7.0,5.3,,126.0,Bianco,,Airbag anteriori e laterali,nan,nan,Climatizzatore manuale,
5748,Marzo,2015,70280.0,87.0,Benzina,Cambio automatico,,Roma,Roma,FORD,Focus,Focus 1.8 Comfort 5p.,1368.0,5.0,4.5,,98.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,Climatizzatore manuale,
11855,Marzo,2017,40240.0,121.0,Benzina,Cambio manuale,,Roma,Roma,BMW,X1,X1 1.6 Business 5p.,1285.0,5.0,7.9,,68.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore automatico,
7189,No Mese,2017,25447.0,138.0,Diesel,Cambio manuale,,Roma,Roma,OPEL,Corsa,Corsa 1.7 Comfort 5p.,1511.0,5.0,4.8,,142.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,nan,
7740,Giugno,2010,33327.0,141.0,Diesel,Cambio automatico,,Roma,Roma,AUDI,A3,A3 1.3 Sport 5p.,2065.0,5.0,7.0,,155.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore manuale,
16897,Gennaio,2019,500.0,118.0,Benzina,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe A,Classe A 1.3 Base 5p.,1516.0,7.0,5.6,,97.0,Nero,,Airbag conducente,nan,Euro 5,Climatizzatore automatico,
2003,Gennaio,2007,127448.0,83.0,Diesel,Cambio automatico,,Roma,Torino,OPEL,Astra,Astra 1.5 Base 5p.,1171.0,4.0,5.4,,169.0,Nero,,Airbag conducente,4 o 5 porte,nan,nan,
2095,No Mese,2011,107480.0,68.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,Panda,Panda 1.8 Base 5p.,1099.0,5.0,4.8,,154.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 6,Climatizzatore manuale,
4759,Marzo,2018,13662.0,46.0,Diesel,Cambio automatico,,Roma,Roma,FORD,Fiesta,Fiesta 1.8 Sport 5p.,622.0,5.0,5.5,,142.0,Grigio,,Airbag anteriori e laterali,nan,Euro 4,Climatizzatore automatico,
2113,Gennaio,2005,256416.0,152.0,Benzina,Cambio automatico,,Roma,Roma,VOLKSWAGEN,Golf,Golf 1.8 Base 5p.,2377.0,5.0,6.8,,119.0,Bianco,,Airbag conducente,nan,Euro 6,nan,
1439,Marzo,2003,167493.0,126.0,Diesel,Cambio manuale,,Roma,Torino,RENAULT,Clio,Clio 1.6 Base 5p.,1662.0,5.0,5.2,,158.0,Bianco,,nan,4 o 5 porte,Euro 4,Climatizzatore manuale,
4177,Giugno,2012,52832.0,76.0,Diesel,Cambio automatico,,Roma,Roma,VOLKSWAGEN,Polo,Polo 1.7 Business 5p.,890.0,5.0,6.2,,78.0,Grigio,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore manuale,
1895,Marzo,2014,77885.0,49.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Panda,Panda 1.6 Comfort 5p.,555.0,5.0,5.9,,125.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore automatico,
10071,Gennaio,2017,18192.0,94.0,Benzina,Cambio manuale,,Roma,Roma,BMW,Serie 1,Serie 1 1.8 Base 5p.,1361.0,5.0,5.3,,150.0,Nero,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore manuale,
5515,No Mese,2016,24498.0,79.0,Diesel,Cambio automatico,,Roma,Roma,RENAULT,Clio,Clio 1.6 Comfort 5p.,908.0,4.0,7.2,,139.0,Grigio,,Airbag anteriori e laterali,nan,nan,Climatizzatore manuale,
20433,Gennaio,2017,27566.0,173.0,Diesel,Cambio automatico,,Roma,Roma,BMW,X1,X1 1.2 Base 5p.,2609.0,5.0,8.8,,139.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,nan,
8558,Gennaio,2019,500.0,107.0,Benzina,Cambio automatico,,Roma,Milano,FIAT,Panda,Panda 1.7 Business 5p.,1423.0,5.0,5.7,,132.0,Bianco,,Airbag conducente,nan,Euro 6,Climatizzatore manuale,
14659,Giugno,2019,500.0,134.0,Benzina,Cambio manuale,,Roma,Torino,AUDI,Q3,Q3 1.2 Comfort 5p.,1815.0,7.0,5.4,,95.0,Bianco,,Airbag conducente,nan,Euro 4,nan,
5615,Gennaio,2006,159248.0,135.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.7 Sport 5p.,1731.0,5.0,3.6,,105.0,Nero,,Airbag conducente,nan,Euro 6,Climatizzatore manuale,
1291,Giugno,2008,198559.0,55.0,Diesel,Cambio manuale,,Roma,Roma,FIAT,Panda,Panda 1.2 Base 5p.,626.0,7.0,6.5,,137.0,Nero,,Airbag conducente,4 o 5 porte,Euro 6,nan,
6929,Marzo,2013,85066.0,116.0,Diesel,Cambio manuale,,Roma,Roma,BMW,Serie 1,Serie 1 1.6 Sport 5p.,1561.0,5.0,6.4,,71.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,Climatizzatore manuale,
5074,No Mese,2007,132739.0,144.0,Diesel,Cambio manuale,,Roma,Milano,AUDI,A4,A4 1.2 Comfort 5p.,2029.0,4.0,4.8,,147.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore automatico,
5229,Marzo,2019,500.0,69.0,GPL,Cambio automatico,,Roma,Roma,FIAT,Tipo,Tipo 1.5 Business 5p.,859.0,7.0,6.2,,126.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore automatico,
1048,Giugno,2006,238137.0,75.0,Benzina,Cambio automatico,,Roma,Milano,FIAT,Tipo,Tipo 1.7 Sport 5p.,932.0,5.0,5.5,,111.0,Nero,,Airbag conducente,2 o 3 porte,nan,nan,
9570,Marzo,2017,14727.0,137.0,Benzina,Cambio manuale,,Roma,Torino,VOLKSWAGEN,Golf,Golf 1.6 Base 5p.,1819.0,5.0,6.2,,60.0,Grigio,,Airbag conducente,nan,Euro 6,Climatizzatore automatico,
1596,Gennaio,2008,194699.0,107.0,Diesel,Cambio manuale,,Roma,Milano,RENAULT,Clio,Clio 1.3 Sport 5p.,1638.0,7.0,5.9,,107.0,Bianco,,Airbag conducente,nan,Euro 4,Climatizzatore automatico,
3294,Giugno,2012,78722.0,91.0,Benzina,Cambio automatico,,Roma,Roma,RENAULT,Megane,Megane 1.4 Comfort 5p.,1356.0,5.0,6.6,,139.0,Grigio,,nan,4 o 5 porte,Euro 6,Climatizzatore manuale,
2513,Gennaio,2014,66241.0,46.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Tipo,Tipo 1.2 Sport 5p.,621.0,5.0,4.1,,120.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,nan,
14113,No Mese,2006,57892.0,189.0,Diesel,Cambio manuale,,Roma,Milano,PORSCHE,Macan,Macan 1.6 Business 5p.,2319.0,7.0,5.2,,143.0,Grigio,,nan,4 o 5 porte,Euro 6,Climatizzatore manuale,
8941,Giugno,2019,500.0,47.0,Diesel,Cambio automatico,,Roma,Torino,BMW,X1,X1 1.5 Comfort 5p.,659.0,5.0,5.7,,150.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore manuale,
11328,Marzo,2019,500.0,65.0,Diesel,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe C,Classe C 1.5 Sport 5p.,977.0,5.0,4.3,,156.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,nan,nan,
3682,Gennaio,2017,30909.0,62.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Clio,Clio 1.3 Sport 5p.,842.0,7.0,4.8,,167.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 6,nan,
11805,Marzo,2013,114320.0,147.0,Benzina,Cambio manuale,,Roma,Roma,BMW,Serie 3,Serie 3 1.8 Business 5p.,1456.0,7.0,7.4,,89.0,Grigio,,Airbag conducente,nan,Euro 4,nan,
3590,Marzo,2017,30145.0,56.0,GPL,Cambio manuale,,Roma,Torino,RENAULT,Clio,Clio 1.3 Comfort 5p.,633.0,7.0,4.6,,119.0,Nero,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore manuale,
1126,Marzo,2003,108479.0,81.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,Tipo,Tipo 1.2 Comfort 5p.,1311.0,7.0,6.7,,132.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 6,Climatizzatore automatico,
9106,Marzo,2010,71885.0,162.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.4 Business 5p.,2627.0,5.0,4.2,,182.0,Nero,,nan,2 o 3 porte,Euro 5,Climatizzatore automatico,
6440,Giugno,2003,221320.0,134.0,Diesel,Cambio manuale,,Roma,Torino,PORSCHE,Macan,Macan 1.3 Business 5p.,1912.0,7.0,5.8,,133.0,Nero,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore manuale,
4350,Giugno,2015,36991.0,99.0,Benzina,Cambio automatico,,Roma,Roma,FIAT,Tipo,Tipo 1.7 Business 5p.,1327.0,5.0,6.3,,136.0,Nero,,Airbag anteriori e laterali,4 o 5 porte,Euro 6,Climatizzatore manuale,
12632,Marzo,2018,13840.0,100.0,Diesel,Cambio automatico,,Roma,Roma,AUDI,A3,A3 1.4 Business 5p.,1705.0,5.0,3.6,,99.0,Bianco,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore automatico,
1921,Gennaio,2010,196253.0,61.0,Diesel,Cambio automatico,,Roma,Roma,OPEL,Corsa,Corsa 1.6 Base 5p.,841.0,4.0,6.4,,132.0,Nero,,Airbag conducente,2 o 3 porte,Euro 5,Climatizzatore automatico,
3540,Gennaio,2009,113851.0,105.0,Diesel,Cambio automatico,,Roma,Torino,VOLKSWAGEN,Golf,Golf 1.2 Business 5p.,1612.0,5.0,3.9,,131.0,Bianco,,Airbag conducente,2 o 3 porte,nan,Climatizzatore automatico,
